Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_assay;16;0;13;Update;Memory;149291008
Reference;scale_assay;16;0;14;Update;Time;169800
Reference;scale_assay;16;0;14;Update;Memory;149291008
Reference;scale_assay;16;0;15;Update;Time;737800
Reference;scale_assay;16;0;15;Update;Memory;149422080
Reference;scale_assay;16;0;16;Update;Time;188000
Reference;scale_assay;16;0;16;Update;Memory;149553152
Reference;scale_assay;16;0;17;Update;Time;1714700
Reference;scale_assay;16;0;17;Update;Memory;146702336
Reference;scale_assay;16;0;18;Update;Time;227800
Reference;scale_assay;16;0;18;Update;Memory;146833408
Reference;scale_assay;16;0;19;Update;Time;382600
Reference;scale_assay;16;0;19;Update;Memory;146964480
Reference;scale_assay;16;0;20;Update;Time;948800
Reference;scale_assay;16;0;20;Update;Memory;146964480
Reference;scale_assay;32;0;0;Initialization;Time;370825500
Reference;scale_assay;32;0;0;Initialization;Memory;76152832
Reference;scale_assay;32;0;0;Load;Time;62914800
Reference;scale_assay;32;0;0;Load;Memory;78512128
Reference;scale_assay;32;0;0;Initial;Time;161389800
Reference;scale_assay;32;0;0;Initial;Memory;104595456
Reference;scale_assay;32;0;1;Update;Time;12240100
Reference;scale_assay;32;0;1;Update;Memory;125698048
Reference;scale_assay;32;0;2;Update;Time;1653100
Reference;scale_assay;32;0;2;Update;Memory;142868480
Reference;scale_assay;32;0;3;Update;Time;1320200
Reference;scale_assay;32;0;3;Update;Memory;157810688
Reference;scale_assay;32;0;4;Update;Time;1578800
Reference;scale_assay;32;0;4;Update;Memory;158334976
Reference;scale_assay;32;0;5;Update;Time;368200
Reference;scale_assay;32;0;5;Update;Memory;158990336
Reference;scale_assay;32;0;6;Update;Time;328400
Reference;scale_assay;32;0;6;Update;Memory;158990336
Reference;scale_assay;32;0;7;Update;Time;2414800
Reference;scale_assay;32;0;7;Update;Memory;160038912
Reference;scale_assay;32;0;8;Update;Time;373800
Reference;scale_assay;32;0;8;Update;Memory;159838208
Reference;scale_assay;32;0;9;Update;Time;1585300
Reference;scale_assay;32;0;9;Update;Memory;159838208
Reference;scale_assay;32;0;10;Update;Time;511600
Reference;scale_assay;32;0;10;Update;Memory;165343232
Reference;scale_assay;32;0;11;Update;Time;233300
Reference;scale_assay;32;0;11;Update;Memory;174256128
Reference;scale_assay;32;0;12;Update;Time;1034900
Reference;scale_assay;32;0;12;Update;Memory;175566848
Reference;scale_assay;32;0;13;Update;Time;303100
Reference;scale_assay;32;0;13;Update;Memory;175566848
Reference;scale_assay;32;0;14;Update;Time;214400
Reference;scale_assay;32;0;14;Update;Memory;175566848
Reference;scale_assay;32;0;15;Update;Time;706800
Reference;scale_assay;32;0;15;Update;Memory;175960064
Reference;scale_assay;32;0;16;Update;Time;257600
Reference;scale_assay;32;0;16;Update;Memory;177008640
Reference;scale_assay;32;0;17;Update;Time;1699800
Reference;scale_assay;32;0;17;Update;Memory;177401856
Reference;scale_assay;32;0;18;Update;Time;241400
Reference;scale_assay;32;0;18;Update;Memory;177401856
Reference;scale_assay;32;0;19;Update;Time;290000
Reference;scale_assay;32;0;19;Update;Memory;177401856
Reference;scale_assay;32;0;20;Update;Time;555500
Reference;scale_assay;32;0;20;Update;Memory;177401856
Reference;new_samples;1;0;0;Initialization;Time;370658800
Reference;new_samples;1;0;0;Initialization;Memory;76152832
Reference;new_samples;1;0;0;Load;Time;58446100
Reference;new_samples;1;0;0;Load;Memory;76808192
Reference;new_samples;1;0;0;Initial;Time;70113700
Reference;new_samples;1;0;0;Initial;Memory;77463552
Reference;new_samples;1;0;1;Update;Time;14043000
Reference;new_samples;1;0;1;Update;Memory;78249984
Reference;new_samples;1;0;2;Update;Time;1203700
Reference;new_samples;1;0;2;Update;Memory;78381056
Reference;new_samples;1;0;3;Update;Time;1471400
Reference;new_samples;1;0;3;Update;Memory;78774272
Reference;new_samples;1;0;4;Update;Time;3766900
Reference;new_samples;1;0;4;Update;Memory;78905344
Reference;new_samples;1;0;5;Update;Time;341900
Reference;new_samples;1;0;5;Update;Memory;79167488
Reference;new_samples;1;0;6;Update;Time;370200
Reference;new_samples;1;0;6;Update;Memory;79429632
Reference;new_samples;1;0;7;Update;Time;498400
Reference;new_samples;1;0;7;Update;Memory;79691776
Reference;new_samples;1;0;8;Update;Time;353900
Reference;new_samples;1;0;8;Update;Memory;79953920
Reference;new_samples;2;0;0;Initialization;Time;445340800
Reference;new_samples;2;0;0;Initialization;Memory;76021760
Reference;new_samples;2;0;0;Load;Time;58710600
Reference;new_samples;2;0;0;Load;Memory;76546048
Reference;new_samples;2;0;0;Initial;Time;77963600
Reference;new_samples;2;0;0;Initial;Memory;77332480
Reference;new_samples;2;0;1;Update;Time;13577900
Reference;new_samples;2;0;1;Update;Memory;78249984
Reference;new_samples;2;0;2;Update;Time;1613800
Reference;new_samples;2;0;2;Update;Memory;78512128
Reference;new_samples;2;0;3;Update;Time;1188300
Reference;new_samples;2;0;3;Update;Memory;78643200
Reference;new_samples;2;0;4;Update;Time;314600
Reference;new_samples;2;0;4;Update;Memory;78905344
Reference;new_samples;2;0;5;Update;Time;340400
Reference;new_samples;2;0;5;Update;Memory;79167488
Reference;new_samples;2;0;6;Update;Time;267900
